"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 11 18:12:05 ICT 2023","Mon Sep 11 18:12:06 ICT 2023","1433","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_05_Search_With_Product_Name_ManuFacTurer","Admin_05_Search_With_Product_Name_ManuFacTurer",""
"passed","Mon Sep 11 18:12:04 ICT 2023","Mon Sep 11 18:12:05 ICT 2023","1272","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_04_Search_With_Product_Name_Child_Catefory","Admin_04_Search_With_Product_Name_Child_Catefory",""
"passed","Mon Sep 11 18:12:03 ICT 2023","Mon Sep 11 18:12:04 ICT 2023","1035","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_03_Search_With_Product_Name_Catefory_Checked","Admin_03_Search_With_Product_Name_Catefory_Checked",""
"passed","Mon Sep 11 18:12:38 ICT 2023","Mon Sep 11 18:12:44 ICT 2023","6169","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_07_Create_New_Customer","Admin_07_Create_New_Customer",""
"broken","Mon Sep 11 18:12:06 ICT 2023","Mon Sep 11 18:12:38 ICT 2023","31429","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_06_Search_With_Product_Go_Directly","Admin_06_Search_With_Product_Go_Directly",""
"passed","Mon Sep 11 18:11:58 ICT 2023","Mon Sep 11 18:12:02 ICT 2023","3979","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_01_Search_With_Product_Name","Admin_01_Search_With_Product_Name",""
"passed","Mon Sep 11 18:12:02 ICT 2023","Mon Sep 11 18:12:03 ICT 2023","996","Suite","Run on Firefox","com.nopcommerce.user.Admin_01_Search_Products","com.nopcommerce.user.Admin_01_Search_Products","Admin_02_Search_With_Product_Name_Catefory","Admin_02_Search_With_Product_Name_Catefory",""
